ftu,#entities
cortical collecting duct,80707
descending limb of loop of Henle,270259
inner medullary collecting duct,55263
loop of Henle ascending limb thin segment,29090
nephron,414496
outer medullary collecting duct,31796
renal corpuscle,19287
thick ascending limb of loop of Henle,113626
crypt of Lieberkuhn of large intestine,406969
liver lobule,108884
alveolus of lung,97809
bronchus submucosal gland,28130
intercalated duct of pancreas,16714
islet of Langerhans,167623
pancreatic acinus,193016
prostate glandular acinus,119627
epidermal ridge of digit,532317
papillary layer of dermis,260642
intestinal villus,237665
red pulp of spleen,326280
white pulp of spleen,238472
thymus lobule,8733
