organ,ftu,young,medium,old,young-pmcid,medium-pmcid,old-pmcid
Kidney,cortical collecting duct,2785.4324324324325,669.0697674418604,75.0,15.0,24.0,1.0
Kidney,descending limb of loop of Henle,1333.212765957447,1443.8674757281553,2465.4545454545455,18.0,58.0,9.0
Kidney,inner medullary collecting duct,88.23529411764706,239.4206896551724,,6.0,12.0,
Kidney,loop of Henle ascending limb thin segment,17500.0,2849.090909090909,2500.0,1.0,7.0,1.0
Kidney,nephron,565.7530364372469,144.92374727668846,44.05263157894737,51.0,116.0,9.0
Kidney,outer medullary collecting duct,7229.285714285715,54.0,,4.0,5.0,
Kidney,renal corpuscle,100.0,23.260714285714283,,2.0,6.0,
Kidney,thick ascending limb of loop of Henle,1824.3666666666666,1097.59875,8608.57142857143,13.0,33.0,3.0
Large Intestine,crypt of Lieberkuhn of large intestine,1694.890410958904,671.6331623931624,2232.0,24.0,80.0,8.0
Liver,liver lobule,83.17073170731707,1271.9193548387098,2302.8571428571427,10.0,29.0,3.0
Lung,alveolus of lung,262.125,467.3058823529412,161.4375,6.0,14.0,1.0
Lung,bronchus submucosal gland,1130.0,108.15277777777777,661.2222222222222,2.0,4.0,4.0
Pancreas,intercalated duct of pancreas,113.33333333333333,29.82,,2.0,4.0,
Pancreas,islet of Langerhans,136.2204724409449,100.1345,267.5,26.0,44.0,4.0
Pancreas,pancreatic acinus,148.56435643564356,257.706976744186,112.5,22.0,52.0,5.0
Prostate Gland,prostate glandular acinus,52.983870967741936,154.6775,128.33333333333334,12.0,33.0,4.0
Skin,epidermal ridge of digit,158.7058823529412,364.94781144781143,72.76271186440678,23.0,71.0,10.0
Skin,papillary layer of dermis,402.8768656716418,940.398409893993,2235.1022727272725,29.0,126.0,25.0
Small Intestine,intestinal villus,368.1420233463035,145.78571428571428,24.88888888888889,58.0,53.0,5.0
Spleen,red pulp of spleen,307.57042253521126,141.59469696969697,130.09803921568627,24.0,68.0,9.0
Spleen,white pulp of spleen,402.0673076923077,330.2258064516129,165.0,16.0,56.0,6.0
Thymus,thymus lobule,190.58823529411765,,35.0,4.0,,1.0
