rep_length_um,cortical collecting duct,descending limb of loop of Henle,inner medullary collecting duct,loop of Henle ascending limb thin segment,nephron,outer medullary collecting duct,renal corpuscle,thick ascending limb of loop of Henle,crypt of Lieberkuhn of large intestine,liver lobule,alveolus of lung,bronchus submucosal gland,intercalated duct of pancreas,islet of Langerhans,pancreatic acinus,prostate glandular acinus,epidermal ridge of digit,papillary layer of dermis,intestinal villus,red pulp of spleen,white pulp of spleen,thymus lobule
0.00031622776601683794,,1 (0.0),,,1 (0.0),,,,,,,,,,,,,1 (0.0),,,,
0.0031622776601683794,,1 (0.0),,,4 (0.1),,,,1 (0.0),,,,,,1 (0.0),,3 (0.0),1 (0.0),2 (0.0),1 (0.0),,
0.03162277660168379,3 (0.0),9 (0.6),,,53 (9.0),,1 (0.0),10 (0.7),22 (2.8),5 (0.2),5 (0.2),1 (0.0),1 (0.0),7 (0.4),15 (1.5),6 (0.3),27 (3.7),16 (1.7),26 (3.5),23 (3.0),16 (1.7),
0.31622776601683794,68 (12.1),174 (32.2),46 (7.6),15 (1.5),806 (115.4),20 (2.4),14 (1.3),96 (17.7),279 (49.5),65 (11.5),55 (9.5),12 (1.0),10 (0.7),90 (16.6),167 (31.0),43 (7.0),255 (45.7),147 (27.4),272 (48.4),172 (31.9),130 (24.3),2 (0.0)
3.1622776601683795,239 (43.2),420 (69.8),180 (33.3),35 (5.3),2053 (219.4),77 (14.0),50 (8.4),266 (47.4),765 (111.0),232 (42.0),97 (17.9),20 (2.4),20 (2.4),256 (45.9),487 (78.6),140 (26.1),595 (91.9),330 (57.1),606 (93.2),400 (67.0),306 (53.6),8 (0.5)
31.622776601683793,1572 (184.2),3178 (288.6),822 (117.1),185 (34.1),12891 (634.4),511 (81.6),427 (70.7),1691 (193.3),6381 (433.9),2090 (222.0),1085 (142.9),304 (53.3),257 (46.0),2654 (258.3),4411 (351.1),1600 (186.4),3291 (294.8),3993 (331.1),5256 (388.7),4143 (338.4),2899 (272.8),94 (17.3)
316.22776601683796,890 (124.0),2619 (256.1),527 (83.6),149 (27.8),6642 (443.8),304 (53.3),235 (42.5),1121 (146.2),5063 (380.4),1843 (204.6),915 (126.5),220 (40.1),155 (28.8),1795 (201.1),2853 (270.1),1161 (149.8),2287 (235.1),3627 (312.6),4567 (358.3),3888 (325.9),2696 (260.8),92 (17.0)
3162.2776601683795,144 (26.9),545 (85.8),98 (18.1),29 (4.1),708 (104.8),54 (9.2),28 (3.9),198 (36.4),459 (74.9),209 (38.2),130 (24.3),44 (7.2),20 (2.4),202 (37.0),338 (58.3),127 (23.7),378 (64.0),687 (102.5),387 (65.2),514 (82.0),407 (68.0),16 (1.7)
31622.776601683792,29 (4.1),119 (22.2),28 (3.9),9 (0.6),197 (36.2),11 (0.9),5 (0.2),39 (6.2),196 (36.0),69 (12.3),30 (4.3),15 (1.5),2 (0.0),59 (10.3),112 (20.9),50 (8.4),150 (27.9),220 (40.1),144 (26.9),188 (34.7),152 (28.3),4 (0.1)
316227.7660168379,9 (0.6),29 (4.1),9 (0.6),3 (0.0),39 (6.2),9 (0.6),2 (0.0),15 (1.5),45 (7.4),24 (3.1),7 (0.4),3 (0.0),2 (0.0),9 (0.6),13 (1.2),8 (0.5),20 (2.4),36 (5.5),29 (4.1),38 (5.9),30 (4.3),4 (0.1)
3162277.6601683795,,2 (0.0),,,5 (0.2),,,1 (0.0),4 (0.1),2 (0.0),1 (0.0),,,4 (0.1),1 (0.0),1 (0.0),5 (0.2),8 (0.5),4 (0.1),6 (0.3),6 (0.3),
